Name,Price,Images,Details,product_link
KB New Men's Leather Jackets Autumn Casual Motorcycle PU Jacket Biker Leather Coats Brand Clothing EU Size SA722,$20.24 ,"https://ae-pic-a1.aliexpress-media.com/kf/S87b0c4fa7df54bd4bc2f13ef22388d985.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb0671deeaacc4329aa46527cd6799129a.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c7e162c9f9a43f99ede787f04ebe3c8w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3d44206e6cf45beb38044385d998450g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S699028fd129b40ffb1c1ac2578b379794.jpg_220x220q75.jpg_.avif","['', '', '', '', '', '', '', '', '', '', '', '']",https://www.aliexpress.us/item/3256806810804856.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-0&pdp_ext_f=%7B%22order%22%3A%223108%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006997119608%22%2C%22orig_item_id%22%3A%221005005028739275%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2169.00%2120.24%21%21%21472.60%21138.63%21%40212e509017744599998954433ea012%2112000038991063583%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=1AjDxSyXYS6r&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006997119608%7C_p_origin_prod%3A1005005028739275
KB New Men's Leather Jackets Autumn Casual Motorcycle PU Jacket Biker Leather Coats Brand Clothing EU Size SA722,$22.27 ,"https://ae-pic-a1.aliexpress-media.com/kf/S87b0c4fa7df54bd4bc2f13ef22388d985.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb0671deeaacc4329aa46527cd6799129a.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c7e162c9f9a43f99ede787f04ebe3c8w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3d44206e6cf45beb38044385d998450g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S699028fd129b40ffb1c1ac2578b379794.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Mandarin Collar', 'Fabric Type', 'Broadcloth', 'Model Number', 'PY2907B', 'Type', 'regular', 'Detachable Part', 'Hat Detachable', 'Hooded', 'Yes', 'Decoration', 'Zippers', 'Thickness', 'Standard', 'Lining Material', 'POLYESTER', 'Sleeve Length(cm)', 'Full', 'Style', 'Moto & Biker', 'Clothing Length', 'regular', 'Material', 'Faux Leather', 'Brand Name', 'King Billion', 'Origin', 'Mainland China', 'CN', 'Anhui', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256804842424523.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-1&pdp_ext_f=%7B%22order%22%3A%222320%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2182.02%2122.27%21%21%21561.79%21152.53%21%40212e509017744599998954433ea012%2112000034382998735%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=sYGbKQ5r5pym&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005028739275%7C_p_origin_prod%3A
Men PU Leather Jacket Motorcycle Fashion Slim Fit Leather Coat,$34.21 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf616d68bbaed417b87489cdd6dd101e0R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S84990fba81f246d8b98c43142d1a5cc2s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se1ee6384978c416ca89ae4eb07ce9ffb3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb8c31d69a80e4c8c80abf52f83e1f60cO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S96912b6b5a3f4b70976b2467209bddd11.jpg_220x220q75.jpg_.avif","['Applicable Season', 'Four Seasons', 'Applicable Scene', 'Shopping', 'Thickness', 'Thin', 'Lining Material', 'COTTON', 'Style', 'Punk Style', 'Material', 'Faux Leather,PU', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806829927142.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-2&pdp_ext_f=%7B%22order%22%3A%221832%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007016241894%22%2C%22orig_item_id%22%3A%221005005874546708%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2168.42%2134.21%21%21%21468.66%21234.33%21%40212e509017744599998954433ea012%2112000039082916190%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895&curPageLogUid=5nehe2TtHzV7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007016241894%7C_p_origin_prod%3A1005005874546708
2024 Motorcycle Leather Jackets Man Casual Fashion Motorcycle Coat Slim Fit Lapel PU Jackets Autumn Anti-wind Leather Coat Male,$9.05 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb4cd1629c7ce4b088afc04298c8940c5x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2b7cd073f4bc4dc88a32bc80b97e0ffew.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S79b132b009494ad283176119cad902edP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f9c69d2cd554869aa4bf77f7093e0d1B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S193057bb58b04658846416d13ddbbb7d6.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Type', 'regular', 'Hooded', 'No', 'Decoration', 'Pockets', 'Thickness', 'Standard', 'Lining Material', 'Synthetic Leather', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Clothing Length', 'regular', 'Material', 'PU', 'Origin', 'Mainland China', 'CN', 'Fujian', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256807292817030.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-3&pdp_ext_f=%7B%22order%22%3A%221001%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2156.54%219.05%21%21%21387.27%2162.00%21%40212e509017744599998954433ea012%2112000040922628786%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=3Gor52ivIHNG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007479131782%7C_p_origin_prod%3A
Men PU Leather Jacket Motorcycle Fashion Slim Fit Leather Coat,$20.71 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf616d68bbaed417b87489cdd6dd101e0R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S84990fba81f246d8b98c43142d1a5cc2s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se1ee6384978c416ca89ae4eb07ce9ffb3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb8c31d69a80e4c8c80abf52f83e1f60cO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S96912b6b5a3f4b70976b2467209bddd11.jpg_220x220q75.jpg_.avif","['Applicable Season', 'Four Seasons', 'Applicable Scene', 'Shopping', 'Thickness', 'Thin', 'Lining Material', 'COTTON', 'Style', 'Punk Style', 'Material', 'Faux Leather,PU', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256805688231956.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-4&pdp_ext_f=%7B%22order%22%3A%22707%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2178.40%2120.71%21%21%21536.97%21141.86%21%40212e509017744599998954433ea012%2112000034660553972%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=UXy31Je4Srsx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005874546708%7C_p_origin_prod%3A
Mauroicardi Autumn Winter Oversized Cool Black Thickened Warm Pu Leather Bomber Jacket Men Hood Luxury Designer Fake 2 Clothes,$84.51 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se8e3934556004073a3f6a71ceba23bd39.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se8e3934556004073a3f6a71ceba23bd39.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12ea862b29bf4f9588599ab9a9bc02652.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S81b925587caa4e38b4f043d8da5ae5faP.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1d813ef282584919a47d6db9991bcfb7Q.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Shopping', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Turn-Down Collar', 'Model Number', 'N23C018170', 'Type', 'Loose', 'Decoration', 'Zippers', 'Thickness', 'Cotton Liner', 'Lining Material', 'POLYESTER', 'Sleeve Length(cm)', 'Full', 'Style', 'High Street', 'Clothing Length', 'Short (4 - 16 Inch)', 'Material', 'Faux Leather,PU', 'Brand Name', 'mauroicardi', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'number', '739382092881', 'KG', 'M=1.658 kg L=1.633 kg']",https://www.aliexpress.us/item/3256805973821865.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-8&pdp_ext_f=%7B%22order%22%3A%22555%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21147.71%2184.51%21%21%21147.71%2184.51%21%40212e509017744599998954433ea012%2112000036149837132%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=QWLdeceRlCa5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006160136617%7C_p_origin_prod%3A
2026 Autumn New Men Black Biker PU Leather Coat Korean Fashion Men Pu Leather Jacket Trend Casual Fit Slim Baseball Clothes 8Xl,$24.35 ,"https://ae-pic-a1.aliexpress-media.com/kf/S124c5aa4d9124876976fccfccaeee89dP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S124c5aa4d9124876976fccfccaeee89dP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa14171005d464c9ba271c86679f3e26e3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b6cb73717a24de8b554838b7145e190G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3319c22ae06346b89d5b38cabc565f1dJ.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Spring And Summer', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Stand', 'Fabric Type', 'Oxford', 'Model Number', 'PY8817', 'Type', 'Slim', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Decoration', 'Pockets', 'Thickness', 'Standard', 'Lining Material', 'POLYESTER', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Clothing Length', 'regular', 'Material', 'Faux Leather', 'Origin', 'Mainland China', 'CN', 'Fujian', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806993757723.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-5&pdp_ext_f=%7B%22order%22%3A%22539%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.35%2124.35%21%21%21255.82%21166.78%21%40212e509017744599998954433ea012%2112000039719410621%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=vLiMMtS4Svx0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007180072475%7C_p_origin_prod%3A
Men's motorcycle racing suit PU leather label color jacket,$37.84 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9e62c83aaf53480cb0e4ab203ec1594b2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sea1670432d2948468ae3d05ed02d7f7fs.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3231d55bac7343808914e393f760d6f9v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d71812013154bfeaa5dced58785ac27h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sded8cd0254a4421a988d0fc29a687af9J.jpg_220x220q75.jpg_.avif","['Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Patchwork', 'Closure Type', 'Zipper', 'Collar', 'Stand', 'Type', 'regular', 'Hooded', 'No', 'Thickness', 'Standard', 'Lining Material', 'POLYESTER', 'Sleeve Length(cm)', 'Full', 'Style', 'Moto & Biker', 'Clothing Length', 'regular', 'Material', 'PU', 'Origin', 'Mainland China', 'CN', 'Fujian', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256807061498922.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-7&pdp_ext_f=%7B%22order%22%3A%22424%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21115.78%2133.34%21%21%21792.98%21228.33%21%40212e509017744599998954433ea012%2112000039940835772%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=Nyu33IQLrneW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007247813674%7C_p_origin_prod%3A
Mauroicardi Spring Autumn Short Oversized Black Soft Pu Leather Jacket Men with Hood Zipper Loose Casual Korean Fashion Clothes,$55.87 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3db9074383e847a293d3751c727cfa16g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3db9074383e847a293d3751c727cfa16g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9a2d383f45064564a2c779c11c6d31d9F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12ad538a11c84e9d8fd050768374647bf.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb8508a8c98c94e31b28ea136caa72016X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Shopping', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Model Number', 'N25C018069', 'Type', 'Loose', 'Hooded', 'Yes', 'Decoration', 'Zippers', 'Thickness', 'Standard', 'Lining Material', 'POLYESTER', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Clothing Length', 'Short (4 - 16 Inch)', 'Material', 'Faux Leather,PU', 'Brand Name', 'mauroicardi', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'number', '815676056034 2=m']",https://www.aliexpress.us/item/3256809392767247.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-10&pdp_ext_f=%7B%22order%22%3A%22378%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2189.83%2155.87%21%21%2189.83%2155.87%21%40212e509017744599998954433ea012%2112000049560803543%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=bsLxl5ZEcf7Q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009579081999%7C_p_origin_prod%3A
Mauroicardi Spring Autumn Vintage Lightweight Distressed Washed Brown Pu Leather Jacket Men Zipper Casual Korean Fashion Clothes,$52.68 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd506bd949efa4b609f60b924e8ad18eb5.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd506bd949efa4b609f60b924e8ad18eb5.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S34ffcb3adadf4e5aafeb23acbce7e608G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S60978a6734544c23bff0c6a1b4cee0a2h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se3de814c8fef46c2968eaee918e1a33eS.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Shopping', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Turn-Down Collar', 'Model Number', 'N24C018079', 'Type', 'regular', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Decoration', 'Pockets', 'Thickness', 'Standard', 'Lining Material', 'POLYESTER', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Clothing Length', 'Short (4 - 16 Inch)', 'Material', 'Faux Leather,PU', 'Brand Name', 'mauroicardi', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'number', '772668315316 m=xs', 'KG', 'XS= 0.733 kg XL=0.83 kg']",https://www.aliexpress.us/item/3256807002078779.html?algo_pvid=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e&algo_exp_id=2c85884a-f0c1-4fd1-b386-d7bf9f436c2e-13&pdp_ext_f=%7B%22order%22%3A%22319%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2180.23%2152.68%21%21%2180.23%2152.68%21%40212e509017744599998954433ea012%2112000039748001922%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6050071%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=ewbk4bbSNJRo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007188393531%7C_p_origin_prod%3A
